vehicle_type,media_type,vehicle_sign,transaction_time,entrance_time,pay_fee,discount_fee,fee,fee_mileage,axle_count,total_weight,gantry_type,transaction_type,pass_state,entrance_lane_type,cpu_card_type,fee_prov_begin_hex,obu_fee_sum_before,obu_fee_sum_after,pay_fee_prov_sum_local,gantry_id,section_id,section_name,gantry_transaction_id,pass_id
1,1,0xff,2023-02-20 17:35:00,2023-02-20 03:09:52,1063,0,323,11189.0,2.0,0.0,1,9.0,1.0,03,,000000,,,,G561553012000310010,G5615530120,彝良至镇雄高速公路,G5615530120004200102023010315100064,020000360101610064346820230103073153
1,2,0xff,2023-03-09 07:50:00,2023-03-09 20:41:20,5103,26,3180,10940.0,6.0,18000.0,3,9.0,1.0,,1.0,000000,,,,S007153002000210010,S0014530010,宜宾至毕节高速威信至镇雄段,S0010530020004200102023030911400021,020000210101970038886720230103101101
11,2,0xff,2023-02-20 09:58:15,2023-03-09 11:41:51,1444,0,656,11000.0,2.0,0.0,1,9.0,1.0,03,2.0,000000,,,,S001453001000920010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010009100102023031517100200,015301190923900303575620230208072540
1,2,0xff,2023-02-01 19:03:50,2023-01-03 12:42:36,1018,31,0,0.0,2.0,0.0,1,9.0,1.0,01,,000000,,,,G561553012000220010,S0010530020,宜宾至毕节高速威信至镇雄段,G5615530120002100102023010318300038,015301000000061026764920230308152743
0,2,0xff,2023-03-08 11:04:41,2023-01-03 11:56:04,3934,0,381,6596.0,255.0,18000.0,1,9.0,1.0,,2.0,000000,,,,S001453001000820010,G5615530120,彝良至昭通高速,G5615530120003200102023010307100027,013701220423235308522220230221175216
1,2,0xff,2023-01-03 19:49:44,2023-03-16 11:38:20,1066,0,770,6805.0,255.0,0.0,1,9.0,1.0,01,,000000,,,,S001453001000510010,S0010530010,彝良至昭通高速,S0010530010005200102023022116200012,020000410101620029469220230221121218
1,1,0xff,2023-03-15 15:05:05,2023-03-15 16:03:18,1814,0,5270,6805.0,255.0,0.0,1,9.0,1.0,01,2.0,000000,,,,S001453001000320010,S0010530020,都香高速,G7611530010005100102023020119200026,015301190923900327472820230315094930
1,2,0xff,2023-02-21 13:54:10,2023-01-03 19:05:08,5460,0,743,14670.0,255.0,0.0,1,9.0,1.0,03,2.0,000000,,,,G561553012000320010,S0014530010,彝良至镇雄高速公路,G5615530120004200102023010309100024,013701190123021509309320230103223853
1,2,0xff,2023-02-21 19:39:54,2023-03-16 23:27:19,1026,0,770,19916.0,2.0,18000.0,1,9.0,1.0,01,2.0,000000,,,,S001053002000410010,G5615530120,彝良至昭通高速,S0014530010003100102023031509400019,015103195723439021069020230308130321
11,2,0xff,2023-01-03 07:48:45,2023-03-16 15:04:52,5148,24,908,14670.0,2.0,0.0,1,9.0,1.0,03,2.0,000000,,,,S001053002000320010,G5615530120,彝良至镇雄高速公路,G5615530120003100102023010316300138,020000520101600004230520230201033700
