vehicle_type,media_type,vehicle_sign,transaction_time,entrance_time,pay_fee,discount_fee,fee,fee_mileage,axle_count,total_weight,gantry_type,transaction_type,pass_state,entrance_lane_type,cpu_card_type,fee_prov_begin_hex,obu_fee_sum_before,obu_fee_sum_after,pay_fee_prov_sum_local,gantry_id,section_id,section_name,gantry_transaction_id,pass_id
11,2,0xff,2023-03-08 14:15:19,2023-03-08 14:13:47,0,0,0,0.0,2,18000.0,1,9,1,1,0,000000,0.0,0.0,0.0,S001053002000420010,S0010530020,彝良至镇雄高速公路,S0010530020004200102023030814400023,020000530101620017229320230308141347
1,1,0xff,2023-01-03 09:36:17,2023-01-03 09:10:00,1617,81,1536,14670.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G561553012000410010,G5615530120,麻文高速,G5615530120004100102023010309100090,015301190823900451551820230103091000
1,1,0xff,2023-02-01 18:58:48,2023-02-01 18:57:54,637,32,605,8086.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G761153001000420010,G7611530010,都香高速,G7611530010004200102023020118200061,015301190823900489371720230201185754
1,1,0xff,2023-03-15 10:35:39,2023-03-15 10:27:24,340,17,323,6805.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001453001000820010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010008200102023031510200091,015301190923900370062620230315102724
1,2,0xff,2023-01-03 21:18:40,2023-01-03 20:58:44,1617,0,1617,14670.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,G561553012000410010,G5615530120,麻文高速,G5615530120004100102023010321300026,020000320101610106946820230103205844
1,2,0xff,2023-01-03 15:39:20,2023-01-03 15:33:11,956,0,956,11000.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,G561553012000310010,G5615530120,麻文高速,G5615530120003100102023010315300106,020000110101840094931120230103153311
1,1,0xff,2023-01-03 09:35:01,2023-01-03 09:23:10,956,48,908,11000.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G561553012000310010,G5615530120,麻文高速,G5615530120003100102023010309100061,015301190523120306914720230103092310
1,1,0xff,2023-03-08 13:21:46,2023-03-08 12:51:11,1318,66,1252,11189.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001053002000320010,S0010530020,彝良至镇雄高速公路,S0010530020003200102023030813100023,015401224523602747039920230308125111
1,1,0xff,2023-02-01 09:53:19,2023-02-01 09:45:41,912,46,866,13506.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G761153001000520010,G7611530010,都香高速,G7611530010005200102023020109100088,015301190723400202184920230201094541
11,2,0xff,2023-03-16 18:31:36,2023-03-16 18:16:23,779,0,779,8323.0,2,18000.0,1,9,1,1,0,000000,0.0,0.0,0.0,S001453001000620010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010006200102023031618300026,020000440101620052151520230316181623
11,1,0xff,2023-03-08 09:33:22,2023-03-08 09:19:48,1459,73,1386,19916.0,2,1920.0,1,9,1,1,2,000000,0.0,0.0,0.0,S001053002000420010,S0010530020,彝良至镇雄高速公路,S0010530020004200102023030809200038,012301205823261640391920230308091948
1,1,0xff,2023-03-09 05:15:05,2023-03-09 05:12:20,1818,91,1727,19916.0,2,0.0,1,9,1,1,2,000000,0.0,0.0,0.0,S001053002000410010,S0010530020,彝良至镇雄高速公路,S0010530020004100102023030905100002,015301190623360501233520230309051220
1,1,0xff,2023-02-01 10:17:44,2023-02-01 10:16:04,912,46,866,13506.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G761153001000510010,G7611530010,都香高速,G7611530010005100102023020110200028,015301190723400201319620230201101604
1,1,0xff,2023-03-09 17:46:02,2023-03-09 17:22:11,1318,66,1252,11189.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001053002000320010,S0010530020,彝良至镇雄高速公路,S0010530020003200102023030917100057,013701210423224827476420230309172211
13,1,0xff,2023-03-16 11:47:35,2023-03-16 10:46:38,1853,93,1760,6805.0,6,18100.0,1,9,1,1,2,000000,0.0,0.0,0.0,S001453001000810010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010008100102023031611100142,015201164023020889243620230316104638
1,1,0xff,2023-03-08 12:09:44,2023-03-08 11:54:47,1318,66,1252,11189.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001053002000310010,S0010530020,彝良至镇雄高速公路,S0010530020003100102023030812200016,011201194823051403855920230308115447
1,1,0xff,2023-01-03 06:26:27,2023-01-03 06:25:29,1617,81,1536,14670.0,2,0.0,1,9,1,3,1,000000,0.0,0.0,0.0,G561553012000420010,G5615530120,麻文高速,G5615530120004200102023010306100023,015301180522100208194720230103062529
1,1,0xff,2023-01-03 11:17:16,2023-01-03 11:05:08,956,48,908,11000.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G561553012000320010,G5615530120,麻文高速,G5615530120003200102023010311100052,015301190523120309440320230103110508
1,1,0xff,2023-01-03 18:37:38,2023-01-03 18:28:59,1106,55,1051,14926.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G561553012000220010,G5615530120,麻文高速,G5615530120002200102023010318100045,013701190123021633358320230103182859
1,1,0xff,2023-03-15 22:33:14,2023-03-15 22:30:42,1049,52,997,16444.0,2,0.0,1,9,1,3,1,000000,0.0,0.0,0.0,S001453001000710010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010007100102023031522100019,015301170922120305482920230315223042
1,1,0xff,2023-01-03 22:10:45,2023-01-03 21:59:30,1617,81,1536,14670.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,G561553012000410010,G5615530120,麻文高速,G5615530120004100102023010322100009,015301190823370403730120230103215930
1,2,0xff,2023-01-03 13:28:04,2023-01-03 13:02:33,282,0,282,5639.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,G561553012000510010,G5615530120,麻文高速,G5615530120005100102023010313300026,020000530101610099588120230103130233
1,2,0xff,2023-02-21 10:11:54,2023-02-21 10:10:34,906,0,906,6596.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,S001053001000620010,S0010530010,彝良至昭通高速,S0010530010006200102023022110400007,020000430101920062541220230221101034
1,1,0xff,2023-03-16 16:11:17,2023-03-16 16:02:47,1049,52,997,16444.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001453001000720010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010007200102023031616100019,015201164023020930948420230316160247
1,2,0xff,2023-01-03 14:49:38,2023-01-03 14:48:18,1617,0,1617,14670.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,G561553012000420010,G5615530120,麻文高速,G5615530120004200102023010314300165,020000440101610125146120230103144818
1,1,0xff,2023-03-15 07:59:31,2023-03-15 07:57:44,898,45,853,7765.0,2,0.0,1,9,1,1,1,000000,0.0,0.0,0.0,S001453001000320010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010003200102023031507100008,015301000000010055567220230315075744
1,2,0xff,2023-03-15 18:13:47,2023-03-15 18:05:29,340,0,340,6805.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,S001453001000820010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010008200102023031518400025,020000110101840043521120230315180529
1,1,0xff,2023-02-20 16:38:41,2023-02-20 16:25:22,2792,140,2652,24696.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001053001000410010,S0010530010,彝良至昭通高速,S0010530010004100102023022016100073,014501214623081978556720230220162522
11,1,0xff,2023-01-03 08:48:10,2023-01-03 08:46:56,1281,64,1217,14670.0,2,6160.0,1,9,1,3,2,000000,0.0,0.0,0.0,G561553012000420010,G5615530120,麻文高速,G5615530120004200102023010308100103,015301191023900310341020230103084656
2,2,0xff,2023-03-15 11:48:40,2023-03-15 11:40:16,1780,0,1780,8323.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,S001453001000610010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010006100102023031511300059,020000110101840105626420230315114016
1,1,0xff,2023-03-15 14:40:16,2023-03-15 14:39:37,74,4,70,1475.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001453001000410010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010004100102023031514200034,015401193723020004282420230315143937
1,2,0xff,2023-01-03 16:45:04,2023-01-03 16:27:00,1617,0,1617,14670.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,G561553012000410010,G5615530120,麻文高速,G5615530120004100102023010316300100,020000350101610018956620230103162700
1,1,0xff,2023-01-03 17:31:44,2023-01-03 17:24:53,956,48,908,11000.0,2,0.0,1,9,1,3,1,000000,0.0,0.0,0.0,G561553012000310010,G5615530120,麻文高速,G5615530120003100102023010317100075,015301000000061032530920230103172453
1,1,0xff,2023-03-15 14:14:22,2023-03-15 13:57:40,691,35,656,9589.0,2,0.0,1,9,1,3,2,000000,0.0,0.0,0.0,S001453001000910010,S0014530010,宜宾至毕节高速威信至镇雄段,S0014530010009100102023031514100057,013701190123021916149220230315135740
1,2,0xff,2023-02-09 15:23:50,2023-02-09 15:22:24,320,0,320,6403.0,255,0.0,1,9,1,1,0,000000,0.0,0.0,0.0,S007153002000410010,S0071530020,昭阳西环高速公路,S0071530020004100102023020915300012,020000640101630022515420230209152224
