vehicle_type,media_type,vehicle_sign,transaction_time,entrance_time,pay_fee,discount_fee,fee,fee_mileage,axle_count,total_weight,gantry_type,transaction_type,pass_state,entrance_lane_type,cpu_card_type,fee_prov_begin_hex,obu_fee_sum_before,obu_fee_sum_after,pay_fee_prov_sum_local,gantry_id,section_id,section_name,gantry_transaction_id,pass_id
11,2,0x04,2023-05-07 17:00:03,2023-05-07 16:44:03,358,0,358,484.6,2.0,0.0,2,9.0,1.0,01,,000000,,,,G561553012000710010,G5615530120,麻文高速,GT20230507170003733553,P202305071700037663
14,2,0x04,2023-09-04 09:17:50,2023-09-04 07:02:50,460,0,460,616.2,2.0,0.0,2,9.0,1.0,03,1.0,000000,,,,S001453001001020010,S0014530010,宜宾至毕节高速威信至镇雄段,GT20230904091750121679,P202309040917503827
22,2,0x04,2023-10-26 01:42:50,2023-10-25 23:05:50,419,171,419,534.6,5.0,0.0,1,9.0,1.0,03,2.0,000000,,,,S001453001000820010,S0014530010,宜宾至毕节高速威信至镇雄段,GT20231026014250976234,P202310260142507280
24,1,0xff,2023-07-02 19:24:45,2023-07-02 17:11:45,186,0,186,248.7,3.0,0.0,1,9.0,1.0,01,,000000,,,,G761153001000210010,G7611530010,都香高速,GT20230702192445735237,P202307021924455406
22,1,0x04,2023-05-03 12:22:05,2023-05-03 10:08:05,290,0,290,350.4,3.0,0.0,3,9.0,1.0,03,2.0,000000,,,,S001453001000310010,S0014530010,宜宾至毕节高速威信至镇雄段,GT20230503122205247364,P202305031222052144
3,1,0x04,2023-05-11 06:14:38,2023-05-11 05:27:38,324,31,324,369.4,3.0,25000.0,1,9.0,1.0,03,2.0,000000,,,,G761153001000820010,G7611530010,都香高速,GT20230511061438979338,P202305110614388910
0,1,0x04,2023-07-04 23:43:12,2023-07-04 23:29:12,301,175,301,339.5,2.0,0.0,1,9.0,1.0,03,1.0,000000,,,,G561553012000710010,G5615530120,麻文高速,GT20230704234312866604,P202307042343129383
0,1,0xff,2023-05-05 22:45:47,2023-05-05 21:33:47,254,0,254,306.5,5.0,0.0,1,9.0,1.0,01,,000000,,,,S001453001000620010,S0014530010,宜宾至毕节高速威信至镇雄段,GT20230505224547508548,P202305052245475241
0,2,0x04,2023-03-28 09:46:50,2023-03-28 07:33:50,74,22,74,87.7,2.0,18000.0,2,9.0,1.0,03,,000000,,,,S001453001000110010,S0014530010,宜宾至毕节高速威信至镇雄段,GT20230328094650987194,P202303280946507589
1,2,0x04,2023-05-01 15:39:47,2023-05-01 14:07:47,156,0,156,176.9,3.0,0.0,1,9.0,1.0,01,,000000,,,,S001453001000820010,S0014530010,宜宾至毕节高速威信至镇雄段,GT20230501153947370052,P202305011539478991
14,2,0xff,2023-07-18 04:47:04,2023-07-18 03:15:04,243,17,243,321.5,4.0,0.0,2,9.0,1.0,01,2.0,000000,,,,S001453001002010010,S0014530010,宜宾至毕节高速威信至镇雄段,GT20230718044704344211,P202307180447048501
